Total global memory: 25343295488 bytes
Total float count: 12671647744
Launching kernel for offset=0, size=104857600, grid=102400
Launching kernel for offset=104857600, size=104857600, grid=102400
Launching kernel for offset=209715200, size=104857600, grid=102400
Launching kernel for offset=314572800, size=104857600, grid=102400
Launching kernel for offset=419430400, size=104857600, grid=102400
Launching kernel for offset=524288000, size=104857600, grid=102400
Launching kernel for offset=629145600, size=104857600, grid=102400
Launching kernel for offset=734003200, size=104857600, grid=102400
Launching kernel for offset=838860800, size=104857600, grid=102400
Launching kernel for offset=943718400, size=104857600, grid=102400
Launching kernel for offset=1048576000, size=104857600, grid=102400
Launching kernel for offset=1153433600, size=104857600, grid=102400
Launching kernel for offset=1258291200, size=104857600, grid=102400
Launching kernel for offset=1363148800, size=104857600, grid=102400
Launching kernel for offset=1468006400, size=104857600, grid=102400
Launching kernel for offset=1572864000, size=104857600, grid=102400
Launching kernel for offset=1677721600, size=104857600, grid=102400
Launching kernel for offset=1782579200, size=104857600, grid=102400
Launching kernel for offset=1887436800, size=104857600, grid=102400
Launching kernel for offset=1992294400, size=104857600, grid=102400
Launching kernel for offset=2097152000, size=104857600, grid=102400
Launching kernel for offset=2202009600, size=104857600, grid=102400
Launching kernel for offset=2306867200, size=104857600, grid=102400
Launching kernel for offset=2411724800, size=104857600, grid=102400
Launching kernel for offset=2516582400, size=104857600, grid=102400
Launching kernel for offset=2621440000, size=104857600, grid=102400
Launching kernel for offset=2726297600, size=104857600, grid=102400
Launching kernel for offset=2831155200, size=104857600, grid=102400
Launching kernel for offset=2936012800, size=104857600, grid=102400
Launching kernel for offset=3040870400, size=104857600, grid=102400
Launching kernel for offset=3145728000, size=104857600, grid=102400
Launching kernel for offset=3250585600, size=104857600, grid=102400
Launching kernel for offset=3355443200, size=104857600, grid=102400
Launching kernel for offset=3460300800, size=104857600, grid=102400
Launching kernel for offset=3565158400, size=104857600, grid=102400
Launching kernel for offset=3670016000, size=104857600, grid=102400
Launching kernel for offset=3774873600, size=104857600, grid=102400
Launching kernel for offset=3879731200, size=104857600, grid=102400
Launching kernel for offset=3984588800, size=104857600, grid=102400
Launching kernel for offset=4089446400, size=104857600, grid=102400
Launching kernel for offset=4194304000, size=104857600, grid=102400
Launching kernel for offset=4299161600, size=104857600, grid=102400
Launching kernel for offset=4404019200, size=104857600, grid=102400
Launching kernel for offset=4508876800, size=104857600, grid=102400
Launching kernel for offset=4613734400, size=104857600, grid=102400
Launching kernel for offset=4718592000, size=104857600, grid=102400
Launching kernel for offset=4823449600, size=104857600, grid=102400
Launching kernel for offset=4928307200, size=104857600, grid=102400
Launching kernel for offset=5033164800, size=104857600, grid=102400
Launching kernel for offset=5138022400, size=104857600, grid=102400
Launching kernel for offset=5242880000, size=104857600, grid=102400
Launching kernel for offset=5347737600, size=104857600, grid=102400
Launching kernel for offset=5452595200, size=104857600, grid=102400
Launching kernel for offset=5557452800, size=104857600, grid=102400
Launching kernel for offset=5662310400, size=104857600, grid=102400
Launching kernel for offset=5767168000, size=104857600, grid=102400
Launching kernel for offset=5872025600, size=104857600, grid=102400
Launching kernel for offset=5976883200, size=104857600, grid=102400
Launching kernel for offset=6081740800, size=104857600, grid=102400
Launching kernel for offset=6186598400, size=104857600, grid=102400
Launching kernel for offset=6291456000, size=104857600, grid=102400
Launching kernel for offset=6396313600, size=104857600, grid=102400
Launching kernel for offset=6501171200, size=104857600, grid=102400
Launching kernel for offset=6606028800, size=104857600, grid=102400
Launching kernel for offset=6710886400, size=104857600, grid=102400
Launching kernel for offset=6815744000, size=104857600, grid=102400
Launching kernel for offset=6920601600, size=104857600, grid=102400
Launching kernel for offset=7025459200, size=104857600, grid=102400
Launching kernel for offset=7130316800, size=104857600, grid=102400
Launching kernel for offset=7235174400, size=104857600, grid=102400
Launching kernel for offset=7340032000, size=104857600, grid=102400
Launching kernel for offset=7444889600, size=104857600, grid=102400
Launching kernel for offset=7549747200, size=104857600, grid=102400
Launching kernel for offset=7654604800, size=104857600, grid=102400
Launching kernel for offset=7759462400, size=104857600, grid=102400
Launching kernel for offset=7864320000, size=104857600, grid=102400
Launching kernel for offset=7969177600, size=104857600, grid=102400
Launching kernel for offset=8074035200, size=104857600, grid=102400
Launching kernel for offset=8178892800, size=104857600, grid=102400
Launching kernel for offset=8283750400, size=104857600, grid=102400
Launching kernel for offset=8388608000, size=104857600, grid=102400
Launching kernel for offset=8493465600, size=104857600, grid=102400
Launching kernel for offset=8598323200, size=104857600, grid=102400
Launching kernel for offset=8703180800, size=104857600, grid=102400
Launching kernel for offset=8808038400, size=104857600, grid=102400
Launching kernel for offset=8912896000, size=104857600, grid=102400
Launching kernel for offset=9017753600, size=104857600, grid=102400
Launching kernel for offset=9122611200, size=104857600, grid=102400
Launching kernel for offset=9227468800, size=104857600, grid=102400
Launching kernel for offset=9332326400, size=104857600, grid=102400
Launching kernel for offset=9437184000, size=104857600, grid=102400
Launching kernel for offset=9542041600, size=104857600, grid=102400
Launching kernel for offset=9646899200, size=104857600, grid=102400
Launching kernel for offset=9751756800, size=104857600, grid=102400
Launching kernel for offset=9856614400, size=104857600, grid=102400
Launching kernel for offset=9961472000, size=104857600, grid=102400
Launching kernel for offset=10066329600, size=104857600, grid=102400
Launching kernel for offset=10171187200, size=104857600, grid=102400
Launching kernel for offset=10276044800, size=104857600, grid=102400
Launching kernel for offset=10380902400, size=104857600, grid=102400
Launching kernel for offset=10485760000, size=104857600, grid=102400
Launching kernel for offset=10590617600, size=104857600, grid=102400
Launching kernel for offset=10695475200, size=104857600, grid=102400
Launching kernel for offset=10800332800, size=104857600, grid=102400
Launching kernel for offset=10905190400, size=104857600, grid=102400
Launching kernel for offset=11010048000, size=104857600, grid=102400
Launching kernel for offset=11114905600, size=104857600, grid=102400
Launching kernel for offset=11219763200, size=104857600, grid=102400
Launching kernel for offset=11324620800, size=104857600, grid=102400
Launching kernel for offset=11429478400, size=104857600, grid=102400
Launching kernel for offset=11534336000, size=104857600, grid=102400
Launching kernel for offset=11639193600, size=104857600, grid=102400
Launching kernel for offset=11744051200, size=104857600, grid=102400
Launching kernel for offset=11848908800, size=104857600, grid=102400
Launching kernel for offset=11953766400, size=104857600, grid=102400
Launching kernel for offset=12058624000, size=104857600, grid=102400
Launching kernel for offset=12163481600, size=104857600, grid=102400
Launching kernel for offset=12268339200, size=104857600, grid=102400
Launching kernel for offset=12373196800, size=104857600, grid=102400
Launching kernel for offset=12478054400, size=104857600, grid=102400
Launching kernel for offset=12582912000, size=88735744, grid=86656
Check passed!
0.000000 2.000000 4.000000 6.000000 8.000000 10.000000 12.000000 14.000000 16.000000 18.000000 
